sku,handle,pista_original,pista_idioma,marca_detectada,modelo_detectado,generacion_detectada,anios_detectados,pista_normalizada,estado_pista,motivo_estado,requiere_traduccion,verificado_por,fecha_verificacion
OYL260416042,oyl260416042-20-bmw,BMW *5前轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416043,oyl260416043-20-bmw,BMW *5前轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416044,oyl260416044-20-bmw,BMW *5后轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416045,oyl260416045-20-bmw,BMW *5前轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416046,oyl260416046-20-bmw,BMW *5后轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416047,oyl260416047-20-bmw,BMW *5前轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416048,oyl260416048-20-bmw,BMW *5后轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416049,oyl260416049-20-bmw,BMW X5/X6,lat,BMW,X5/X6,,,BMW X5/X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416050,oyl260416050-20-bmw,BMW X5/X6,lat,BMW,X5/X6,,,BMW X5/X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416051,oyl260416051-22-bmw,BMW X5X6,lat,BMW,X5X6,,,BMW X5X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416052,oyl260416052-22-bmw,BMW X5X6,lat,BMW,X5X6,,,BMW X5X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416053,oyl260416053-22-bmw,BMW X5X6,lat,BMW,X5X6,,,BMW X5X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416054,oyl260416054-22-bmw,BMW X5X6,lat,BMW,X5X6,,,BMW X5X6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416055,oyl260416055-18-audi,AUDI,lat,Audi,,,,Audi,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416056,oyl260416056-19-audi,AUDIA3/4/5/6/7/8,lat,Audi,A3/4/5/6/7/8,,,Audi A3/4/5/6/7/8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416057,oyl260416057-19-audi,AUDIA3/4/5/6/7/8,lat,Audi,A3/4/5/6/7/8,,,Audi A3/4/5/6/7/8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416058,oyl260416058-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416059,oyl260416059-17-audi,AUDIA4/A6,lat,Audi,A4/A6,,,Audi A4/A6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416060,oyl260416060-17-audi,AUDIA4/A6,lat,Audi,A4/A6,,,Audi A4/A6,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416061,oyl260416061-18-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416062,oyl260416062-19-audi,AUDIA6A8,lat,Audi,A6A8,,,Audi A6A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416063,oyl260416063-20-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416064,oyl260416064-20-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416065,oyl260416065-19-bmw,BMW,lat,BMW,,,,BMW,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416066,oyl260416066-19-bmw,BMW,lat,BMW,,,,BMW,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416067,oyl260416067-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416068,oyl260416068-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416069,oyl260416069-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416070,oyl260416070-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416071,oyl260416071-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416072,oyl260416072-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416073,oyl260416073-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416074,oyl260416074-20-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416075,oyl260416075-22-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416076,oyl260416076-22-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416077,oyl260416077-22-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416078,oyl260416078-22-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416079,oyl260416079-22-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416080,oyl260416080-22-bmw,BMW X5M/X6M,lat,BMW,X5M/X6M,,,BMW X5M/X6M,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416081,oyl260416081-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416082,oyl260416082-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416083,oyl260416083-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416084,oyl260416084-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416085,oyl260416085-17-bmw,BMW 3/5系,mixto,BMW,3/5,,,BMW 3/5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416086,oyl260416086-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416087,oyl260416087-19-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416088,oyl260416088-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416089,oyl260416089-19-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416090,oyl260416090-19-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416091,oyl260416091-20-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416092,oyl260416092-20-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416093,oyl260416093-20-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416094,oyl260416094-17-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416095,oyl260416095-17-vehiculos-europeos,Consultar,lat,,Consultar,,,Consultar,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416096,oyl260416096-18-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416097,oyl260416097-18-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416098,oyl260416098-18-vehiculos-europeos,Consultar,lat,,Consultar,,,Consultar,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416099,oyl260416099-19-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416100,oyl260416100-20-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416101,oyl260416101-21-audi,AUDIA6/A8,lat,Audi,A6/A8,,,Audi A6/A8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416102,oyl260416102-20-audi,AUDIQ8,lat,Audi,Q8,,,Audi Q8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416103,oyl260416103-23-audi,AUDIQ8,lat,Audi,Q8,,,Audi Q8,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416104,oyl260416104-18-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416105,oyl260416105-18-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416106,oyl260416106-18-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416107,oyl260416107-18-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416108,oyl260416108-19-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416109,oyl260416109-19-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416110,oyl260416110-20-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416111,oyl260416111-20-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416112,oyl260416112-20-mercedes-benz,BENZ S级新,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416113,oyl260416113-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416114,oyl260416114-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416115,oyl260416115-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416116,oyl260416116-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416117,oyl260416117-18-vehiculos-europeos,Consultar,lat,,Consultar,,,Consultar,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416118,oyl260416118-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416119,oyl260416119-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416120,oyl260416120-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416121,oyl260416121-19-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416122,oyl260416122-20-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416123,oyl260416123-20-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416124,oyl260416124-20-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416125,oyl260416125-20-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416126,oyl260416126-19-mercedes-benz,BENZ GLC,lat,Mercedes-Benz,GLC,,,Mercedes-Benz GLC,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416127,oyl260416127-18-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416128,oyl260416128-18-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416129,oyl260416129-19-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416130,oyl260416130-19-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416131,oyl260416131-20-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416132,oyl260416132-20-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416133,oyl260416133-21-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416134,oyl260416134-21-mercedes-benz,BENZ S级贴AMG标,mixto,Mercedes-Benz,SAMG,,,Mercedes-Benz SAMG,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416135,oyl260416135-19-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416136,oyl260416136-19-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416137,oyl260416137-20-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416138,oyl260416138-20-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416139,oyl260416139-20-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416140,oyl260416140-20-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416141,oyl260416141-21-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416142,oyl260416142-21-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416143,oyl260416143-22-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416144,oyl260416144-22-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416145,oyl260416145-22-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416146,oyl260416146-19-mercedes-benz,BENZ S级老 迈巴赫威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416147,oyl260416147-19-mercedes-benz,BENZ S级老 迈巴赫威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416148,oyl260416148-20-mercedes-benz,BENZ S级老 迈巴赫威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416149,oyl260416149-20-mercedes-benz,BENZ S级老 迈巴赫威霆,mixto,Mercedes-Benz,S,,,Mercedes-Benz S,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
