familia,referencias_totales,referencias_publicables,skus_publicables,skus_excluidos,medidas,diametros,anclajes,acabados,img_ancho_min,img_alto_min,img_juicio,p_foto,p_tecnica,p_variedad,p_anclajes,p_coherencia,p_disponibilidad,puntuacion,problemas,notas_proveedor
wheel-design-124,4,4,OYL260416426|OYL260416427|OYL260416428|OYL260416429,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112,MG,634,596,"Apta en tarjeta y en galería, móvil y escritorio",35,20,16,5,10,0,86,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E/S级/改
wheel-design-050,3,3,OYL260416171|OYL260416172|OYL260416173,ninguno,19x8.0|19x9.0,19,5x112|5x120,B|MB,892,930,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,10,10,0,83,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3/5系
wheel-design-103,3,3,OYL260416369|OYL260416370|OYL260416371,ninguno,20x9.0|21x9.0|22x10.0,20|21|22,5x112,MB,630,600,"Apta en tarjeta y en galería, móvil y escritorio",35,20,12,5,10,0,82,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIS5|AUDISQ5/SQ7-2025/改
wheel-design-047,2,2,OYL260416155|OYL260416156,ninguno,20x10.5,20,5x112|5x120,MB,929,916,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,10,10,0,79,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X5X6
wheel-design-039,2,2,OYL260416102|OYL260416103,ninguno,20x9.0|23x10.0,20|23,5x112,B|MB,890,899,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIQ8
wheel-design-111,2,2,OYL260416394|OYL260416395,ninguno,20x8.5|20x9.5,20,5x112,MIYB,663,628,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E/S/改
wheel-design-121,2,2,OYL260416421|OYL260416422,ninguno,19x8.0|19x8.5,19,5x112,MB,718,672,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3系-2025
wheel-design-122,2,2,OYL260416423|OYL260416424,ninguno,19x8.0|19x8.5,19,5x112,MB,725,671,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3系-2025
wheel-design-125,2,2,OYL260416430|OYL260416431,ninguno,20x10.0|20x8.5,20,5x112,MB,921,841,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 530Li-2025(尊享型M运动)BMW 520d-2024欧版
wheel-design-126,2,2,OYL260416432|OYL260416433,ninguno,21x11.0|22x11.5,21|22,5x112,MG,641,595,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ GLS/GLE 450豪华版-2025
wheel-design-130,2,2,OYL260416438|OYL260416439,ninguno,20x10.0|20x8.5,20,5x112,MB,888,849,"Apta en tarjeta y en galería, móvil y escritorio",35,20,8,5,10,0,78,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 540i-2025(加拿大版)/改
wheel-design-011,1,1,OYL260416011,ninguno,18x8.0,18,5x112,MYB,675,681,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ C级 威霆
wheel-design-042,1,1,OYL260416126,ninguno,19x8.0,19,5x112,MB,910,902,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ GLC
wheel-design-102,2,1,OYL260416368,OYL260416367,21x9.0,21,5x112,B,620,591,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Excluidas de la publicación: OYL260416367 (ficha incompleta) // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA6 Avant 海外版-2025/改）
wheel-design-105,1,1,OYL260416379,ninguno,20x9.0,20,5x112,MB,628,592,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIS3-2021-22海外版/改）
wheel-design-112,1,1,OYL260416396,ninguno,19x8.5,19,5x112,MB,673,630,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIRS3 Sportback-2025/改
wheel-design-120,1,1,OYL260416420,ninguno,20x10.0,20,5x112,MB,666,615,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW i5 M60-2024
wheel-design-123,1,1,OYL260416425,ninguno,22x11.5,22,5x112,MB,578,555,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG GLE Coupe-2024/ 改
wheel-design-127,1,1,OYL260416434,ninguno,18x8.0,18,5x112,MB,625,592,"Apta en tarjeta y en galería, móvil y escritorio",35,20,4,5,10,0,74,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW西雅特Seat Cupra/改
wheel-design-113,6,6,OYL260416397|OYL260416398|OYL260416399|OYL260416400|OYL260416401|OYL260416402,ninguno,20x8.5|20x9.5|22x10.0,20|22,5x112|5x130,MATT BLACK MACHINED|MB|MG,352,325,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,12,10,10,0,72,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG G63-2025/改
wheel-design-119,4,4,OYL260416416|OYL260416417|OYL260416418|OYL260416419,ninguno,21x10.0|21x11.0|22x10.0|22x11.5,21|22,5x112,MG,335,310,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,16,5,10,0,71,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG GLE53-2025/改
wheel-design-081,10,10,OYL260416315|OYL260416316|OYL260416317|OYL260416318|OYL260416319|OYL260416320|OYL260416321|OYL260416322|OYL260416323|OYL260416324,ninguno,18x8.0|18x9.0|19x8.5|19x9.5|20x8.5|20x9.5,18|19|20,5x112|5x120,B|MB,193,182,Solo apta en tarjeta de colección,8,20,20,10,10,0,68,"El proveedor escribe el mismo buje de dos formas (5x120: 72.56, 72.6 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3/5系|BMW M/改
wheel-design-066,9,9,OYL260416235|OYL260416236|OYL260416237|OYL260416238|OYL260416239|OYL260416240|OYL260416241|OYL260416242|OYL260416243,ninguno,18x8.5|19x8.5|19x9.5|20x8.5|20x9.5,18|19|20,5x112|5x120,MB|MG,229,197,Solo apta en tarjeta de colección,8,20,20,10,10,0,68,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系7系
wheel-design-089,3,3,OYL260416343|OYL260416344|OYL260416345,ninguno,19x9.5|20x8.5|20x9.5,19|20,5x112,MIYB,484,462,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,12,5,10,0,67,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级/S级/改
wheel-design-110,3,3,OYL260416391|OYL260416392|OYL260416393,ninguno,19x8.5|19x9.5|20x8.5,19|20,5x112,MIYB,351,300,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,12,5,10,0,67,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG GT-2024/E350/改；
wheel-design-030,16,16,OYL260416065|OYL260416066|OYL260416067|OYL260416068|OYL260416069|OYL260416070|OYL260416071|OYL260416072|OYL260416073|OYL260416074|OYL260416075|OYL260416076|OYL260416077|OYL260416078|OYL260416079|OYL260416080,ninguno,19x8.5|19x9.5|20x10.5|20x9.0|22x10.5|22x9.5,19|20|22,5x112|5x120,B|MB|MB+B,204,188,Solo apta en tarjeta de colección,8,20,20,10,5,0,63,"Buje contradictorio en el mismo anclaje: 5x120: 72.6, 74.1 mm // El proveedor escribe el mismo buje de dos formas (5x112: 66.5, 66.56 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW|BMW X5M/X6M
wheel-design-072,16,16,OYL260416260|OYL260416261|OYL260416262|OYL260416263|OYL260416264|OYL260416265|OYL260416266|OYL260416267|OYL260416268|OYL260416269|OYL260416270|OYL260416271|OYL260416272|OYL260416273|OYL260416274|OYL260416275,ninguno,19x8.5|20x9.0|21x9.0|22x10.0|23x10.0,19|20|21|22|23,5x112,B|B+P|MATTE BLACK|MB|MB+X,203,187,Solo apta en tarjeta de colección,8,20,20,5,10,0,63,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA7|AUDIRS6/RS7-2024
wheel-design-019,8,8,OYL260416026|OYL260416027|OYL260416028|OYL260416029|OYL260416030|OYL260416031|OYL260416032|OYL260416033,ninguno,19x8.5|19x9.5|20x8.5|20x9.5|21x10.0|21x11.0|22x11.5,19|20|21|22,5x112,MB|MIYB,199,204,Solo apta en tarjeta de colección,8,20,20,5,10,0,63,"El proveedor escribe el mismo buje de dos formas (5x112: 66.5, 66.56 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ|BENZ GLS/GLE
wheel-design-062,7,7,OYL260416215|OYL260416216|OYL260416217|OYL260416218|OYL260416219|OYL260416220|OYL260416221,ninguno,18x8.0|18x9.0|19x8.5|19x9.5|20x8.5|20x9.5|21x10.0,18|19|20|21,5x112,MB,208,200,Solo apta en tarjeta de colección,8,20,20,5,10,0,63,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S级老 迈巴赫|BENZ S级老 迈巴赫(球）
wheel-design-099,6,6,OYL260416357|OYL260416358|OYL260416359|OYL260416360|OYL260416361|OYL260416362,ninguno,17x7.5|18x8.0|19x8.5|19x9.5|20x8.5,17|18|19|20,5x112,MIYB,190,179,Solo apta en tarjeta de colección,8,20,20,5,10,0,63,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG C63S/改|Consultar
wheel-design-117,4,4,OYL260416408|OYL260416409|OYL260416410|OYL260416411,ninguno,20x10.0|20x8.5,20,5x112,MB|MG,343,315,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,8,5,10,0,63,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 530Li-2025(尊享型M运动)
wheel-design-118,4,4,OYL260416412|OYL260416413|OYL260416414|OYL260416415,ninguno,21x10.5|21x9.0,21,5x112,GMF+CHROMEINSERT|MB,347,303,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,8,5,10,0,63,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 740Li-2023(领先/尊享豪华版)
wheel-design-114,2,2,OYL260416403|OYL260416404,ninguno,20x10.5|20x9.0,20,5x112,MB,327,304,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,8,5,10,0,63,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X3-2025/改
wheel-design-116,2,2,OYL260416406|OYL260416407,ninguno,20x8.0|20x9.5,20,5x112,MB,331,317,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,8,5,10,0,63,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X4 M40i-2022/改
wheel-design-129,2,2,OYL260416436|OYL260416437,ninguno,18x8.0|19x8.0,18|19,5x112,MB,513,476,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,8,5,10,0,63,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW / 改
wheel-design-015,6,6,OYL260416016|OYL260416017|OYL260416018|OYL260416019|OYL260416020|OYL260416021,ninguno,17x7.5|18x8.0|19x8.5|20x9.0|21x9.0,17|18|19|20|21,5x112|5x114.3,MB,156,158,No apta a ningún tamaño real de la tienda,0,20,20,10,10,0,60,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDI|AUDIA4/改装车型|AUDIA8/Q7|改装
wheel-design-054,4,4,OYL260416184|OYL260416185|OYL260416186|OYL260416187,ninguno,19x9.5|20x8.5|20x9.5,19|20,5x112|5x120,MB,199,189,Solo apta en tarjeta de colección,8,20,12,10,10,0,60,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW M5-2021/改装|BMW 改装
wheel-design-061,4,4,OYL260416211|OYL260416212|OYL260416213|OYL260416214,ninguno,21x10.5|22x10.5|22x9.5,21|22,5x112|5x120,MB,199,151,Solo apta en tarjeta de colección,8,20,12,10,10,0,60,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X5/X7|BMW X7
wheel-design-077,4,4,OYL260416302|OYL260416303|OYL260416304|OYL260416305,ninguno,18x9.0|19x8.5|19x9.5,18|19,5x112|5x120,MB,217,205,Solo apta en tarjeta de colección,8,20,12,10,10,0,60,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW
wheel-design-045,5,5,OYL260416146|OYL260416147|OYL260416148|OYL260416149|OYL260416150,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112,CB|P,190,179,Solo apta en tarjeta de colección,8,20,16,5,10,0,59,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S级老 迈巴赫威霆
wheel-design-053,4,4,OYL260416180|OYL260416181|OYL260416182|OYL260416183,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112,MB,225,213,Solo apta en tarjeta de colección,8,20,16,5,10,0,59,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ C43 AMG
wheel-design-057,4,4,OYL260416194|OYL260416195|OYL260416196|OYL260416197,ninguno,19x8.5|20x8.5|21x10.0|21x9.0,19|20|21,5x112,B,230,215,Solo apta en tarjeta de colección,8,20,16,5,10,0,59,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ 迈巴赫改装
wheel-design-069,4,4,OYL260416249|OYL260416250|OYL260416251|OYL260416252,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112,MB,236,183,Solo apta en tarjeta de colección,8,20,16,5,10,0,59,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级
wheel-design-088,4,4,OYL260416339|OYL260416340|OYL260416341|OYL260416342,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112|5x120,B|MB,202,191,Solo apta en tarjeta de colección,8,20,16,10,5,0,59,"Buje contradictorio en el mismo anclaje: 5x112: 66.5, 72.6 mm // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW M5新能源-2025/改
wheel-design-115,1,1,OYL260416405,ninguno,18x8.0,18,5x112,MB,341,318,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,4,5,10,0,59,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW高尔夫GTI-2025/改
wheel-design-128,1,1,OYL260416435,ninguno,18x8.0,18,5x112,MB,508,503,Apta en tarjeta y galería móvil; blanda en galería de escritorio,20,20,4,5,10,0,59,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW高尔夫GTI / 改
wheel-design-023,7,7,OYL260416042|OYL260416043|OYL260416044|OYL260416045|OYL260416046|OYL260416047|OYL260416048,ninguno,20x10.0|20x11.0,20,5x112|5x120,MB|MG,190,190,Solo apta en tarjeta de colección,8,20,8,10,10,0,56,"El proveedor escribe el mismo buje de dos formas (5x112: 66.5, 66.6 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW *5前轮|BMW *5后轮
wheel-design-065,7,7,OYL260416228|OYL260416229|OYL260416230|OYL260416231|OYL260416232|OYL260416233|OYL260416234,ninguno,20x10.5|20x9.0|22x10.5|22x9.5,20|22,5x112|5x120,MB,183,204,No apta a ningún tamaño real de la tienda,0,20,16,10,10,0,56,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW X5/X7
wheel-design-020,6,6,OYL260416034|OYL260416035|OYL260416036|OYL260416037|OYL260416038|OYL260416039,ninguno,19x8.5|19x9.5|20x9.5|22x10.0,19|20|22,5x112|5x130,MIYB|MIYB+R|MYB,174,165,No apta a ningún tamaño real de la tienda,0,20,16,10,10,0,56,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ|BENZ G500/G63
wheel-design-070,5,5,OYL260416253|OYL260416254|OYL260416255|OYL260416256|OYL260416257,ninguno,17x8.0|18x8.0|18x8.5|18x9.0,17|18,5x112|5x120,B|MB,159,148,No apta a ningún tamaño real de la tienda,0,20,16,10,10,0,56,"El proveedor escribe el mismo buje de dos formas (5x112: 66.5, 66.56 mm); confirmar el valor exacto antes del montaje // Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3/5系|BMW M4 鸟巢
wheel-design-064,4,4,OYL260416224|OYL260416225|OYL260416226|OYL260416227,ninguno,19x8.0|19x9.0,19,5x112|5x120,SMH,241,211,Solo apta en tarjeta de colección,8,20,8,10,10,0,56,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3/5系
wheel-design-052,2,2,OYL260416178|OYL260416179,ninguno,17x7.5|18x8.0,17|18,5x100|5x112,MB,197,181,Solo apta en tarjeta de colección,8,20,8,10,10,0,56,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VW全系
wheel-design-073,6,6,OYL260416276|OYL260416277|OYL260416278|OYL260416279|OYL260416280|OYL260416281,ninguno,18x8.0|20x9.0|21x9.0,18|20|21,5x112,B|MB,198,183,Solo apta en tarjeta de colección,8,20,12,5,10,0,55,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA7
wheel-design-058,3,3,OYL260416198|OYL260416199|OYL260416200,ninguno,18x8.0|19x8.5|19x9.5,18|19,5x112,MB,222,172,Solo apta en tarjeta de colección,8,20,12,5,10,0,55,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级
wheel-design-075,3,3,OYL260416294|OYL260416295|OYL260416296,ninguno,18x8.0|19x8.5|19x9.5,18|19,5x112,P,192,190,Solo apta en tarjeta de colección,8,20,12,5,10,0,55,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ 迈巴赫
wheel-design-078,3,3,OYL260416306|OYL260416307|OYL260416308,ninguno,18x8.0|19x8.5|19x9.5,18|19,5x112,MB,202,189,Solo apta en tarjeta de colección,8,20,12,5,10,0,55,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG CLS欧版/改装
wheel-design-083,3,3,OYL260416329|OYL260416330|OYL260416331,ninguno,17x7.5|19x8.0|20x8.5,17|19|20,5x112,MB,190,181,Solo apta en tarjeta de colección,8,20,12,5,10,0,55,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",VWCC海外版19寸改18/改
wheel-design-108,3,3,OYL260416387|OYL260416388|OYL260416389,ninguno,19x8.5|20x8.5|20x9.5,19|20,5x112,MIYB,204,193,Solo apta en tarjeta de colección,8,20,12,5,10,0,55,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG CLE53-2024-25/改
wheel-design-076,5,5,OYL260416297|OYL260416298|OYL260416299|OYL260416300|OYL260416301,ninguno,18x8.5|19x8.5|19x9.5,18|19,5x112|5x120,MB,185,184,No apta a ningún tamaño real de la tienda,0,20,12,10,10,0,52,"Fotografía insuficiente para la galería de escritorio // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系
